municipio,actuacion,idzona
JEREZ DE LA FRONTERA,CAD30002-CR000117-03,J11001771
JEREZ DE LA FRONTERA,CAD30002-CR000106-06,J11002167
JEREZ DE LA FRONTERA,CAD30002-CR000115-02,J11001879
JEREZ DE LA FRONTERA,CAD30002-CR000230-01,J11000135
JEREZ DE LA FRONTERA,CAD30002-CR000154-01,J11001935
JEREZ DE LA FRONTERA,CAD30002-CR000230-02,J11000310
JEREZ DE LA FRONTERA,CAD30002-CR000232-01,J11000138
JEREZ DE LA FRONTERA,CAD30002-CR000267-02,J11001639
JEREZ DE LA FRONTERA,CAD30002-CR000635-01,J11000322
JEREZ DE LA FRONTERA,CAD30002-CR000634-01,J11000321
JEREZ DE LA FRONTERA,CAD30002-CR000015-02,J11000054
JEREZ DE LA FRONTERA,CAD30002-CR000166-01,J11000073
JEREZ DE LA FRONTERA,CAD30002-CR000457-02,J11000266
JEREZ DE LA FRONTERA,CAD30002-CR000221-01,J11000122
JEREZ DE LA FRONTERA,CAD30002-CR000100-02,J11001641
JEREZ DE LA FRONTERA,CAD30002-CR000438-01,J11000255
JEREZ DE LA FRONTERA,CAD30002-CR000490-03,J11000286
JEREZ DE LA FRONTERA,CAD30002-CR000204-01,J11000100
JEREZ DE LA FRONTERA,CAD30002-CR000636-01,J11000323
JEREZ DE LA FRONTERA,CAD30002-CR000049-01,J11000282
JEREZ DE LA FRONTERA,CAD30002-CR000529-03,J11000298
JEREZ DE LA FRONTERA,CAD30002-CR000151-03,J11000057
JEREZ DE LA FRONTERA,CAD30002-CR000529-02,J11000300
JEREZ DE LA FRONTERA,CAD30002-CR000046-02,J11000270
JEREZ DE LA FRONTERA,CAD30002-CR000101-01,J11000007
JEREZ DE LA FRONTERA,CAD30002-CR000468-01,J11000275
JEREZ DE LA FRONTERA,CAD30002-CR000283-01,J11000173
JEREZ DE LA FRONTERA,CAD30002-CR000441-01,J11000258
JEREZ DE LA FRONTERA,CAD30002-CR000304-01,J11000192
JEREZ DE LA FRONTERA,CAD30002-CR000146-02,J11001626
JEREZ DE LA FRONTERA,CAD30002-CR000231-01,J11000136
JEREZ DE LA FRONTERA,CAD30002-CR000055-01,J11000307
JEREZ DE LA FRONTERA,CAD30002-CR000435-01,J11000252
JEREZ DE LA FRONTERA,CAD30002-CR000207-01,J11000103
JEREZ DE LA FRONTERA,CAD30002-CR000165-01,J11000072
JEREZ DE LA FRONTERA,CAD30002-CR000096-01,J11000352
JEREZ DE LA FRONTERA,CAD30002-CR000043-01,J11000246
JEREZ DE LA FRONTERA,CAD30002-CR000645-01,J11000325
JEREZ DE LA FRONTERA,CAD30002-CR000136-03,J11000039
JEREZ DE LA FRONTERA,CAD30002-CR000108-01,J11000014
JEREZ DE LA FRONTERA,CAD30002-CR000119-01,J11000026
JEREZ DE LA FRONTERA,CAD30002-CR000257-01,J11000152
JEREZ DE LA FRONTERA,CAD30002-CR000081-02,J11000341
JEREZ DE LA FRONTERA,CAD30002-CR000010-02,J11000004
JEREZ DE LA FRONTERA,CAD30002-CR000451-02,J11000264
JEREZ DE LA FRONTERA,CAD30002-CR000003-01,J11000181
JEREZ DE LA FRONTERA,CAD30002-CR000342-03,J11001630
JEREZ DE LA FRONTERA,CAD30002-CR000081-01,J11000340
JEREZ DE LA FRONTERA,CAD30002-CR000434-01,J11000250
JEREZ DE LA FRONTERA,CAD30002-CR000434-02,J11000251
JEREZ DE LA FRONTERA,CAD30002-CR000111-01,J11000019
JEREZ DE LA FRONTERA,CAD30002-CR000260-01,J11000153
JEREZ DE LA FRONTERA,CAD30002-CR000270-01,J11000161
JEREZ DE LA FRONTERA,CAD30002-CR000270-02,J11000162
JEREZ DE LA FRONTERA,CAD30002-CR000039-02,J11001622
JEREZ DE LA FRONTERA,CAD30002-CR000157-02,J11000060
JEREZ DE LA FRONTERA,CAD30002-CR000133-01,J11000036
JEREZ DE LA FRONTERA,CAD30002-CR000433-01,J11000249
JEREZ DE LA FRONTERA,CAD30002-CR00465-01,JS1100007
JEREZ DE LA FRONTERA,CAD30002-CR000042-01,J11000238
JEREZ DE LA FRONTERA,CAD30002-CR000043-02,J11000247
JEREZ DE LA FRONTERA,CAD30002-CR000451-01,J11000263
JEREZ DE LA FRONTERA,CAD30002-CR000229-02,J11000131
JEREZ DE LA FRONTERA,CAD30002-CR000416-01,J11000234
JEREZ DE LA FRONTERA,CAD30002-CR000255-01,J11000151
JEREZ DE LA FRONTERA,CAD30002-CR000155-01,J11000058
JEREZ DE LA FRONTERA,CAD30002-CR000502-01,J11002063
JEREZ DE LA FRONTERA,CAD30002-CR000188-02,J11000095
JEREZ DE LA FRONTERA,CAD30002-CR000093-01,J11000351
JEREZ DE LA FRONTERA,CAD30002-CR000115-01,J11000021
JEREZ DE LA FRONTERA,CAD30002-CR000503-02,J11000293
JEREZ DE LA FRONTERA,CAD30002-CR000260-06,J11001871
JEREZ DE LA FRONTERA,CAD30002-CR000437-01,J11000254
JEREZ DE LA FRONTERA,CAD30002-CR000109-02,J11001769
JEREZ DE LA FRONTERA,CAD30002-CR000342-02,J11001629
JEREZ DE LA FRONTERA,CAD30002-CR000342-01,J11000209
JEREZ DE LA FRONTERA,CAD30002-CR000039-03,J11001623
JEREZ DE LA FRONTERA,CAD30002-CR000151-01,J11000055
JEREZ DE LA FRONTERA,CAD30002-CR000267-01,J11000160
JEREZ DE LA FRONTERA,CAD30002-CR000234-01,J11000141
JEREZ DE LA FRONTERA,CAD30002-CR000491-01,J11000287
JEREZ DE LA FRONTERA,CAD30002-CR000123-01,J11000031
JEREZ DE LA FRONTERA,CAD30002-CR000252-02,J11000147
JEREZ DE LA FRONTERA,CAD30002-CR000049-02,J11001876
JEREZ DE LA FRONTERA,CAD30002-CR000083-B1,JB1100005
JEREZ DE LA FRONTERA,CAD30002-CR000654-03,JU1100098
JEREZ DE LA FRONTERA,CAD30002-CR000482-02,J11002549
JEREZ DE LA FRONTERA,CAD30002-CR000318-01,J11000200
JEREZ DE LA FRONTERA,CAD30002-CR000482-01,J11001917
JEREZ DE LA FRONTERA,CAD30002-CR000163-03,J11002049
JEREZ DE LA FRONTERA,CAD30002-CR000241-02,J11001984
JEREZ DE LA FRONTERA,CAD30002-CR000465-01,J11000274
JEREZ DE LA FRONTERA,CAD30002-CR000106-10,J11002171
JEREZ DE LA FRONTERA,CAD30002-CR000221-02,J11000123
JEREZ DE LA FRONTERA,CAD30002-CR000106-04,J11002165
JEREZ DE LA FRONTERA,CAD30002-CR000097-01,J11000353
JEREZ DE LA FRONTERA,CAD30002-CR000459-01,J11000268
JEREZ DE LA FRONTERA,CAD30002-CR000318-03,J11002761
JEREZ DE LA FRONTERA,CAD30002-CR000203-02,J11002762
JEREZ DE LA FRONTERA,CAD30002-CR000283-B3,JB1100031
JEREZ DE LA FRONTERA,CAD30002-CR000273-02,J11001902
JEREZ DE LA FRONTERA,CAD30002-CR000304-02,J11000193
JEREZ DE LA FRONTERA,CAD30002-CR000137-02,J11000041
JEREZ DE LA FRONTERA,CAD30002-CR000273-04,J11003627
JEREZ DE LA FRONTERA,CAD30002-CR000137-01,J11000040
